N° dépôt;N° caisse;Commune;Année;N° cant;Lieu-dit;N° terrain;Récolement LM 2021;Matière ;Caractéristique;Description de l'objet ;Nombre;Notes;ramassage surface;Déblais;couche;situation;altitude;Localisation en mètre Nord;Localisation en mètre Sud;N° St;Déc.;UF;Date de découverte;Période culturelle;Datation;Année de restauration;Etat de conservation;N° Photos;A;Fiche ITMS oui;Fiche ITMS non;Publication;Dessin (+ échelle);Inventorier le, par Nom / date;Envoi restauration;Retour restauration;Remarques
Spira;6;CHE;2013;1903;BR;120;x;lit;silex;éclat;;;;;;m11;;;;289;1;C11;29.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1904;BR;123;x;lit;silex;éclat;;;;;;m12;;;;289;1;C11;29.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1905;BR;123;x;lit;silex;esquille;;;;;;m12;;;;289;1;C11;29.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1906;BR;142;x;lit;silex;éclat cortical;;;;;;m3;;;;289;1;C11;31.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1907;BR;142;x;lit;silex;fragment lamelle;;;;;;m3;;;;289;1;C11;31.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1908;BR;14;x;lit;silex;éclat cortical;;;;;;;;;;294;;A11;29.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1909;BR;12;x;lit;silex;éclat;;;;;;;;;;297;vidange nord;A11;29.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1910;BR;4;x;lit;silex;fragment lame;;;;;;;;;;298;;A10;16.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1911;BR;9;x;lit;silex;éclat;;;;;3;;;;;298;;A11;17.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1912;BR;9;x;lit;silex;éclat;;;;;3;;;;;298;;A11;17.janv;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1913;BR;2;x;lit;silex;lame corticale;;;;;2.4 ?;;;;;412;0;F26;26.août;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1914;BR;3;x;lit;silex;éclat cortical;;;;;4;sommet, proximité st 330;;;;;;A11;16.mai;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;2236;BR;1;x;lit ;silex;éclat petit;;;;;;;;;;412;0;F25;26.août;;;;;;;;;;;lm 2014-15;;;
;;CHE;2013;M;BR;6;;lit ;silex;1 tout petit petit éclat;;;;;;;;;;284;1;A11;16.janv;;;;;;;;;;;;;;manque au 05.01.15 LM UB
