N°_dépôt;N°_caisse;Localité;Année;N°_cantonal;Lieu-dit;N°_terrain;Récolement_LM_2021;Matière;Caractéristique;Description_de_l'objet;Ramassage_surface;Déblais;N°_couche;Situation;Altitude;Loc_Nord;Loc_Sud;N°_structure;N°_décapage;UF;Date_découverte;Période_culturelle;Datation;Année_de_restauration;Etat_de_conservation;N°_Photos_DE;Fiche_ITMS_oui;Fiche_ITMS_non;Publication;Dessin_(+_échelle);Inventorier_le,_par_Nom_/_date;Envoi_MR;Remarque_restauration;Retour_MR;Remarque
Spira;33;CHE;2012;7921;BR;977;x;lit;sil;nucléus esquilllé;;;3;base;;;;;;B7;;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7922;BR;978;x;lit;sil;grattoir;;;3;milieu;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7923;BR;979;x;lit;sil;galet éclaté;;;3;milieu;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7924;BR;980;x;lit;sil;lamelle retouchée;;;3;base;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7925;BR;981;x;lit;sil;éclat;;;3;milieu;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7926;BR;982;x;lit;sil;trapèze rectange;;;4;milieu;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7927;BR;982;x;lit;sil;lamelle corticale;;;4;milieu;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7928;BR;982;x;lit;sil;éclat;;;4;milieu;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7929;BR;983;x;lit;sil;éclat cortical;;;3;base;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7930;BR;984;x;lit;sil;éclat cortical;;;3;milieu;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7931;BR;985;x;lit;sil;lames à encoches;;;3;base;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7932;BR;985;x;lit;sil;esquille;;;3;base;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7933;BR;473;x;lit;sil;grattoir;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7934;BR;473;x;lit;sil;pointe retouchée;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7935;BR;473;x;lit;sil;sergment de cercle ?;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7936;BR;473;x;lit;sil;lamelle à tronquature;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7937;BR;473;x;lit;sil;lamelle à tronquatures;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7938;BR;473;x;lit;sil;lamelle à tronquatures;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7939;BR;473;x;lit;sil;lamelle;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7940;BR;473;x;lit;sil;lamelle;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7941;BR;473;x;lit;sil;éclat cortical;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7942;BR;473;x;lit;sil;éclat cortical;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7943;BR;473;x;lit;sil;éclat cortical;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7944;BR;473;x;lit;sil;éclat cortical;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7945;BR;473;x;lit;sil;éclat cortical;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7946;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7947;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7948;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7949;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7950;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7951;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7952;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
